case_id,accepted,first_withdrawal_amount,monthly_cost,payback_period,requested_amount,offered_amount,credit_score,offer_amt_less_than_requested,pb_treat
Application_1879234051,1,0,290,126,0,29000,0,0,1
Application_1365383501,1,0,350,126,35000,35000,0,0,1
Application_75438737,1,5000,500,126,50000,50000,0,0,1
Application_912018460,0,10000,250,126,25000,25000,0,0,1
Application_993168875,1,0,300,126,30000,30000,0,0,1
Application_1012709826,0,0,335,126,33500,33500,0,0,1
Application_1549129653,1,0,250,126,25000,25000,0,0,1
Application_1101795254,1,0,410,126,41000,41000,0,0,1
Application_844596014,1,33634,470.67,120,45000,45000,0,0,0
Application_94526407,1,50000,522.97,120,50000,50000,0,0,0
Application_1224632,0,33500,350.39,120,30000,33500,0,0,0
Application_634004489,0,0,290,126,29000,29000,0,0,1
Application_271970168,1,0,500,126,50000,50000,0,0,1
Application_488589945,1,0,300,126,30000,30000,0,0,1
Application_593154546,1,0,250,126,25000,25000,0,0,1
Application_554573834,1,0,500,126,20000,50000,0,0,1
Application_1896170333,1,0,250,126,25000,25000,0,0,1
Application_1540200773,1,0,500,126,50000,50000,0,0,1
Application_914499148,0,25672.28,392.22,120,50000,37500,0,1,0
Application_1476535821,1,2886,185.48,120,0,17500,0,0,0
Application_209381780,1,20000,210.12,120,20000,20000,0,0,0
Application_525204220,1,20000,211.98,120,30000,20000,0,1,0
Application_1424793760,0,0,334.7,120,32000,32000,0,0,0
Application_2003922422,0,0,400,126,47500,40000,0,1,1
Application_1574427605,0,45000,470.67,120,45000,45000,0,0,0
Application_2033457619,1,0,300,126,30000,30000,0,0,1
Application_1708781666,1,0,360,126,36000,36000,0,0,1
Application_1809939891,1,0,290.77,120,27800,27800,0,0,0
Application_1022701559,1,1000,298,126,30000,29800,0,1,1
Application_1381149703,1,0,500,126,50000,50000,0,0,1
Application_1444904700,0,0,400,126,4.00E+05,40000,0,1,1
Application_1916570871,0,0,500,126,0,50000,0,0,1
Application_324324662,1,27500,287.63,120,0,27500,0,0,0
Application_634229442,0,0,300,126,30000,30000,0,0,1
Application_769220883,0,15000,157.59,120,17338,15000,0,1,0
Application_1700699492,1,5000,56.3,120,5000,5000,0,0,0
Application_428895204,0,5000,56.3,120,5000,5000,0,0,0
Application_163121479,1,20000,210.12,120,20000,20000,0,0,0
Application_97529474,0,2864,189.1,120,25000,18000,0,1,0
Application_957513157,1,0,265,126,26500,26500,0,0,1
Application_714771041,1,2000,300,126,0,30000,0,0,1
Application_1356906263,0,0,340,126,34500,34000,0,1,1
Application_230697386,1,0,340,126,34000,34000,0,0,1
Application_858453787,0,5000,56.3,120,5000,5000,0,0,0
Application_1624967843,1,15000,261.48,120,15000,25000,0,0,0
Application_1662697397,1,10000,325,126,32500,32500,0,0,1
Application_1490547557,1,5000,56.3,120,5000,5000,0,0,0
Application_1918971781,1,10468,157.59,120,10000,15000,0,0,0
Application_655765028,1,0,78.82,120,7000,7000,0,0,0
Application_240029818,1,227,324.24,120,32000,31000,0,1,0
Application_1694891010,1,15000,157.59,120,15000,15000,0,0,0
Application_1880399299,1,24000,522.97,120,50000,50000,0,0,0
Application_1730282408,1,20000,210.12,120,20000,20000,0,0,0
Application_919303,1,5000,250,126,25000,25000,0,0,1
Application_1121166421,0,12320,366.08,120,35000,35000,0,0,0
Application_417974324,1,0,455,126,45500,45500,0,0,1
Application_2087805134,0,6484,139.27,120,12750,12800,0,0,0
Application_714461843,1,1000,260,126,26000,26000,0,0,1
Application_2143933622,1,9000,101.34,120,15000,9000,0,1,0
Application_1196479244,1,5000,300,126,30000,30000,0,0,1
Application_557159147,1,0,250,126,25000,25000,0,0,1
Application_290274663,1,35000,366.08,120,35000,35000,0,0,0
Application_2121942214,1,25000,261.48,120,25000,25000,0,0,0
Application_1026420873,0,5000,56.3,120,5000,5000,0,0,0
Application_1320709426,1,2000,130.57,120,12000,12000,0,0,0
Application_1025581046,1,30000,313.78,120,30000,30000,0,0,0
Application_810709994,1,3055.71,171.24,120,16500,16300,0,1,0
Application_2110114560,0,3890,277.17,120,26500,26500,0,0,0
Application_552672171,0,0,112.07,120,10000,10300,0,0,0
Application_484277152,0,7000,78.82,120,7000,7000,0,0,0
Application_1918147104,1,11050,210.12,120,20000,20000,0,0,0
Application_1602302483,0,0,250,126,25000,25000,0,0,1
Application_1470933886,0,1077,231.13,120,25000,22000,0,1,0
Application_1035150389,0,27500,287.63,120,27500,27500,0,0,0
Application_891145200,1,0,315,126,0,31500,0,0,1
Application_676203891,0,3000,300,126,30000,30000,0,0,1
Application_1858876732,1,25000,261.48,120,25000,25000,0,0,0
Application_135598988,1,15250,178.6,120,20000,17000,0,1,0
Application_815720592,1,4000,189.1,120,25000,18000,0,1,0
Application_1286403075,0,0,262,126,0,26200,0,0,1
Application_1306765211,0,0,500,126,50000,50000,0,0,1
Application_576038160,1,0,500,126,50000,50000,0,0,1
Application_1896194935,1,15000,500,126,50000,50000,0,0,1
Application_1994587458,1,0,444,126,45000,44400,0,1,1
Application_1061974854,1,7000,78.82,120,10000,7000,0,1,0
Application_1920818884,0,0,460,126,47000,46000,0,1,1
Application_1352159570,1,0,500,126,50000,50000,0,0,1
Application_992706633,1,7540,313.78,120,30000,30000,0,0,0
Application_1152436075,1,27500,287.63,120,27500,27500,0,0,0
Application_293699375,0,5000,56.3,120,5000,5000,0,0,0
Application_1365810935,0,20500,215.37,120,20500,20500,0,0,0
Application_16529477,0,3787,236.38,120,22500,22500,0,0,0
Application_1608509920,1,40000,418.37,120,45000,40000,0,1,0
Application_1088217054,1,0,317,126,31663,31700,0,0,1
Application_1388641566,0,10000,108.81,120,20000,10000,0,1,0
Application_1138536788,0,27800,313.78,120,30000,30000,0,0,0
Application_748856154,1,37000,386.99,120,50000,37000,0,1,0
Application_1442478156,0,0,500,126,50000,50000,0,0,1
Application_1734221788,1,152,234.28,120,22250,22300,0,0,0
Application_325807242,1,5000,56.3,120,5000,5000,0,0,0
Application_2110398373,1,8500,95.71,120,8500,8500,0,0,0
Application_601552538,1,0,400,126,40000,40000,0,0,1
Application_1528142708,1,1300,280,126,28000,28000,0,0,1
Application_348022624,1,0,275,126,27500,27500,0,0,1
Application_318964604,1,25000,261.48,120,25000,25000,0,0,0
Application_84655745,1,0,335,126,33500,33500,0,0,1
Application_481853358,1,2546,204.86,120,0,19500,0,0,0
Application_1922652134,1,2081.04,56.3,120,5000,5000,0,0,0
Application_700651799,1,28000,292.86,120,28000,28000,0,0,0
Application_1168520628,1,0,300,126,30000,30000,0,0,1
Application_385817969,1,0,300,126,30000,30000,0,0,1
Application_730818142,1,0,500,126,50000,50000,0,0,1
Application_593449510,0,360,231.13,120,24250,22000,0,1,0
Application_340687616,1,0,241.63,120,23000,23000,0,0,0
Application_324588834,0,25000,261.48,120,25000,25000,0,0,0
Application_103076193,0,3235,56.3,120,5000,5000,0,0,0
Application_545562925,1,35000,366.08,120,35000,35000,0,0,0
Application_2138403514,1,0,500,126,0,50000,0,0,1
Application_1471849782,1,6000,67.56,120,0,6000,0,0,0
Application_431846898,0,15000,157.59,120,15000,15000,0,0,0
Application_1386685470,0,78,84.45,120,7500,7500,0,0,0
Application_634330591,1,3026,78.82,120,5000,7000,0,0,0
Application_1751789692,1,0,390,126,39000,39000,0,0,1
Application_1313000546,1,40000,418.37,120,0,40000,0,0,0
Application_542637464,1,5000,56.3,120,5000,5000,0,0,0
Application_724059324,1,3600,418.37,120,35000,40000,0,0,0
Application_1243011234,1,17500,350,126,0,35000,0,0,1
Application_180046984,0,1326,236.38,120,22500,22500,0,0,0
Application_829027028,1,0,350,126,0,35000,0,0,1
Application_1928348592,0,15000,157.59,120,15000,15000,0,0,0
Application_858872748,1,19200,201.71,120,19200,19200,0,0,0
Application_1306442758,1,20000,210.12,120,20000,20000,0,0,0
Application_2031072542,0,2340,141.45,120,13000,13000,0,0,0
Application_116589495,1,0,450,126,45000,45000,0,0,1
Application_1518351559,1,0,300,126,30000,30000,0,0,1
Application_1485858591,0,5000,56.3,120,5000,5000,0,0,0
Application_558734362,0,5250,108.81,120,5000,10000,0,0,0
Application_1530527378,1,0,300,126,30000,30000,0,0,1
Application_1916810735,1,6000,250,126,25000,25000,0,0,1
Application_402271064,0,1150,210.12,120,20000,20000,0,0,0
Application_1499063234,1,28000,292.86,120,28000,28000,0,0,0
Application_2135934356,1,5500,108.81,120,10000,10000,0,0,0
Application_645293411,1,15000,157.59,120,15000,15000,0,0,0
Application_1779884800,0,3500,330,126,33000,33000,0,0,1
Application_625557604,1,3000,157.59,120,15000,15000,0,0,0
Application_1964832820,1,8000,500,126,50000,50000,0,0,1
Application_313469192,0,739,157.59,120,10000,15000,0,0,0
Application_1843549466,1,15000,157.59,120,15000,15000,0,0,0
Application_1405484331,1,0,400,126,40000,40000,0,0,1
Application_1263189516,1,10000,108.81,120,10000,10000,0,0,0
Application_1080060964,0,3600,440,126,44000,44000,0,0,1
Application_1476271894,0,88,405.82,120,0,38800,0,0,0
Application_1861072460,1,10000,215.37,120,0,20500,0,0,0
Application_479452628,0,5000,56.3,120,5000,5000,0,0,0
Application_494347751,0,29000,290,126,29000,29000,0,0,1
Application_852711227,0,10100,130.57,120,10000,12000,0,0,0
Application_1197876258,1,20000,210.12,120,20000,20000,0,0,0
Application_1968140279,0,25000,261.48,120,30000,25000,0,1,0
Application_1247127458,1,0,350,126,0,35000,0,0,1
Application_2090379484,0,0,420,126,5000,42000,0,0,1
Application_1126987739,0,19750,210.12,120,20000,20000,0,0,0
Application_1087909645,1,6503,418.37,120,38000,40000,0,0,0
Application_78297350,1,15000,250,126,25000,25000,0,0,1
Application_1760251707,1,0,490,126,50000,49000,0,1,1
Application_290852330,1,2000,250,126,25000,25000,0,0,1
Application_1366996307,1,0,300,126,30000,30000,0,0,1
Application_1198484,1,3800,366.08,120,35000,35000,0,0,0
Application_926510780,0,5000,56.3,120,5000,5000,0,0,0
Application_625401457,1,0,313.78,120,30000,30000,0,0,0
Application_733420946,1,0,261.48,120,25000,25000,0,0,0
Application_1362853103,0,20500,313.78,120,30000,30000,0,0,0
Application_663369664,1,3000,300,126,30000,30000,0,0,1
Application_380595039,1,37500,392.22,120,37500,37500,0,0,0
Application_1497644991,1,16154,313.78,120,30000,30000,0,0,0
Application_266173808,1,0,56.3,120,5000,5000,0,0,0
Application_1818872049,1,15000,157.59,120,15000,15000,0,0,0
Application_1620019982,0,10000,108.81,120,10000,10000,0,0,0
Application_1154319260,1,25000,261.48,120,25000,25000,0,0,0
Application_612471425,0,46489,522.97,120,50538,50000,0,1,0
Application_1266255686,1,6500,73.19,120,6500,6500,0,0,0
Application_690388232,1,0,400,126,40000,40000,0,0,1
Application_935436416,0,1000,56.3,120,5000,5000,0,0,0
Application_1884461713,1,10000,108.81,120,10000,10000,0,0,0
Application_1128037409,1,0,447.66,120,35000,42800,0,0,0
Application_1120199934,0,8000,90.08,120,8000,8000,0,0,0
Application_1689747747,1,25000,261.48,120,25000,25000,0,0,0
Application_1655032105,1,50000,522.97,120,50000,50000,0,0,0
Application_1717565535,1,20000,500,126,50000,50000,0,0,1
Application_972029869,1,35000,366.08,120,35000,35000,0,0,0
Application_2104453618,1,15000,400,126,40000,40000,0,0,1
Application_1068503675,1,0,500,126,50000,50000,0,0,1
Application_1678512911,1,0,430,126,43000,43000,0,0,1
Application_883133715,1,0,435,126,43500,43500,0,0,1
Application_1787159691,1,3000,500,126,50000,50000,0,0,1
Application_1095753414,1,8000,400,126,40000,40000,0,0,1
Application_927301781,1,0,370,126,39000,37000,0,1,1
Application_712192330,1,0,470,126,47000,47000,0,0,1
Application_1236586471,1,0,350,126,35000,35000,0,0,1
Application_441113207,1,3200,157.59,120,15000,15000,0,0,0
Application_414502865,1,5000,56.3,120,5000,5000,0,0,0
Application_1003335792,1,50000,522.97,120,50000,50000,0,0,0
Application_1645650193,0,9000,376.54,120,36000,36000,0,0,0
Application_380364552,1,0,250,126,25000,25000,0,0,1
Application_1155963097,1,6800,76.57,120,6800,6800,0,0,0
Application_2055899498,0,12373.41,596.18,120,0,57000,0,0,0
Application_946870406,1,1707.93,261.48,120,0,25000,0,0,0
Application_1406258811,1,12000,130.57,120,0,12000,0,0,0
Application_1084562941,0,6000,175.45,120,0,16700,0,0,0
Application_1291035764,1,25000,261.48,120,25000,25000,0,0,0
Application_1652812549,1,4085.18,355.62,120,34000,34000,0,0,0
Application_660582187,0,0,250,120,20000,24000,0,0,0
Application_1312812520,1,0,500,126,50000,50000,0,0,1
Application_1988724493,1,30000,313.78,120,30000,30000,0,0,0
Application_1002051388,0,8940,292.86,120,30000,28000,0,1,0
Application_1977167996,0,30000,313.78,120,30000,30000,0,0,0
Application_1403322284,0,0,202.76,120,19300,19300,0,0,0
Application_1041352861,0,20000,700,126,0,70000,0,0,1
Application_1204483638,1,8439,108.81,120,15000,10000,0,1,0
Application_798498969,1,0,470.67,120,0,45000,0,0,0
Application_955677765,1,50000,522.97,120,50000,50000,0,0,0
Application_1167848959,0,15000,157.59,120,15000,15000,0,0,0
Application_1317497531,1,0,250,126,25000,25000,0,0,1
Application_960958494,1,30000,313.78,120,30000,30000,0,0,0
Application_1950784981,1,10000,108.81,120,10000,10000,0,0,0
Application_598019466,0,5000,56.3,120,15000,5000,0,1,0
Application_63937793,1,19000,199.61,120,19000,19000,0,0,0
Application_1837462519,1,5629.63,157.59,120,15000,15000,0,0,0
Application_1511845944,0,5000,56.3,120,5000,5000,0,0,0
Application_807575522,1,80,348.3,120,33200,33300,0,0,0
Application_2061860558,0,28000,292.86,120,28000,28000,0,0,0
Application_614171406,1,5000,56.3,120,5000,5000,0,0,0
Application_1891821003,0,7500,84.45,120,7500,7500,0,0,0
Application_897071940,1,0,460,126,46000,46000,0,0,1
Application_2009027856,1,15000,250,126,0,25000,0,0,1
Application_1212734388,0,0,450,126,45000,45000,0,0,1
Application_1729631750,1,0,300,126,30000,30000,0,0,1
Application_787148081,0,6818,210.12,120,20000,20000,0,0,0
Application_1216638171,0,0,250,126,25000,25000,0,0,1
Application_1130351851,1,5000,56.3,120,5000,5000,0,0,0
Application_1996816733,1,9950,261.48,120,25000,25000,0,0,0
Application_1773215521,0,0,400,120,40000,38500,0,1,0
Application_1774072183,1,10000,108.81,120,10000,10000,0,0,0
Application_87502654,1,4750,300,126,30000,30000,0,0,1
Application_905493234,1,0,310,126,40000,31000,0,1,1
Application_1172598403,1,5800,418.37,120,0,40000,0,0,0
Application_1062743672,1,4000,380,126,38000,38000,0,0,1
Application_1410770383,1,0,400,126,40000,40000,0,0,1
Application_1693585514,1,0,300,126,30000,30000,0,0,1
Application_2087481623,0,0,250,120,24000,24000,0,0,0
Application_1084538604,1,0,150,120,5000,13800,0,0,0
Application_1444514559,1,13000,141.45,120,13000,13000,0,0,0
Application_1514203482,0,28000,292.86,120,45000,28000,0,1,0
Application_1968368712,1,30000,300,126,30000,30000,0,0,1
Application_2005777123,1,10000,250,126,25000,25000,0,0,1
Application_390294184,1,0,300,126,26000,30000,0,0,1
Application_1925948586,1,40000,418.37,120,40000,40000,0,0,0
Application_2029401859,1,3000,345,126,34500,34500,0,0,1
Application_2809731,1,35000,366.08,120,35000,35000,0,0,0
Application_761011044,0,10000,108.81,120,10000,10000,0,0,0
Application_1018089402,0,15000,157.59,120,15000,15000,0,0,0
Application_1899289247,1,0,400,126,40000,40000,0,0,1
Application_2108138317,0,5000,56.3,120,5000,5000,0,0,0
Application_1419831431,0,5000,56.3,120,7000,5000,0,1,0
Application_291944957,1,0,500,126,50000,50000,0,0,1
Application_1797631725,1,8000,108.81,120,10000,10000,0,0,0
Application_399329437,1,15000,157.59,120,15000,15000,0,0,0
Application_104086705,1,9300,522.97,120,50000,50000,0,0,0
Application_2022478392,1,2500,375,126,37500,37500,0,0,1
Application_1587099173,1,9200,400,126,40000,40000,0,0,1
Application_234076589,1,5000,357,126,30000,35700,0,0,1
Application_1348975728,0,31500,329.47,120,41000,31500,0,1,0
Application_2145345254,1,0,300,126,30000,30000,0,0,1
Application_787592280,1,40000,418.37,120,40000,40000,0,0,0
Application_925572639,1,37537,468.58,120,37500,44800,0,0,0
Application_2021815395,1,23000,241.63,120,0,23000,0,0,0
Application_409993555,1,38500,402.68,120,38500,38500,0,0,0
Application_17219016,1,15000,157.59,120,15000,15000,0,0,0
Application_160217815,1,0,500,126,0,50000,0,0,1
Application_349128032,1,0,250,126,0,25000,0,0,1
Application_366554492,1,10000,108.81,120,10000,10000,0,0,0
Application_1890639301,1,0,500,126,50000,50000,0,0,1
Application_1354349617,1,30000,522.97,120,50000,50000,0,0,0
Application_450220910,1,2103,246.89,120,23500,23500,0,0,0
Application_1127353322,0,0,715,126,71500,71500,0,0,1
Application_1731238463,1,11000,119.69,120,11000,11000,0,0,0
Application_1124752980,1,14600,158.86,120,15500,14600,0,1,0
Application_580049342,1,0,350,126,35000,35000,0,0,1
Application_188064935,1,0,250,126,25000,25000,0,0,1
Application_1942052168,1,0,250,126,25000,25000,0,0,1
Application_714967238,1,20000,210.12,120,20000,20000,0,0,0
Application_208389958,1,0,400,126,7500,40000,0,0,1
Application_1901761427,1,4150,67.56,120,10000,6000,0,1,0
Application_1949719453,1,0,300,126,0,30000,0,0,1
Application_2015138107,1,0,250,126,5000,25000,0,0,1
Application_1994539018,1,0,300,126,30000,30000,0,0,1
Application_2001168002,0,3200,60.81,120,8000,5400,0,1,0
Application_1226063921,1,500,130.57,120,12000,12000,0,0,0
Application_592533899,0,10257,261.48,120,25000,25000,0,0,0
Application_2144451517,0,7000,78.82,120,0,7000,0,0,0
Application_78611735,1,0,500,126,0,50000,0,0,1
Application_616644670,1,3013,125.13,120,0,11500,0,0,0
Application_592253335,1,33500,500,126,50000,50000,0,0,1
Application_262072997,0,15000,157.59,120,15000,15000,0,0,0
Application_1116334291,1,7000,78.82,120,7000,7000,0,0,0
Application_317049779,1,23000,241.63,120,23000,23000,0,0,0
Application_484086279,0,0,350,126,40000,35000,0,1,1
Application_1982922523,0,0,601.41,120,50000,57500,0,0,0
Application_1664756314,0,7000,522.97,120,50000,50000,0,0,0
Application_133164771,0,1881.06,88.96,120,7900,7900,0,0,0
Application_2009784943,0,50000,500,126,50000,50000,0,0,1
Application_853756243,1,15000,157.59,120,0,15000,0,0,0
Application_360246644,1,0,250,126,0,25000,0,0,1
Application_815617184,1,0,500,126,50000,50000,0,0,1
Application_1808644519,0,5000,117.51,120,5000,10800,0,0,0
Application_1618695918,1,800,345.16,120,28000,33000,0,0,0
Application_868102003,0,20000,210.12,120,20000,20000,0,0,0
Application_2136019929,1,22500,287.63,120,27500,27500,0,0,0
Application_1284173961,1,0,270,126,27000,27000,0,0,1
Application_959900535,1,18674,575.26,120,0,55000,0,0,0
Application_900460993,1,0,500,126,50000,50000,0,0,1
Application_555909254,1,0,250,126,25000,25000,0,0,1
Application_1589359791,0,48000,502.05,120,40000,48000,0,0,0
Application_1447078181,1,17000,178.6,120,17000,17000,0,0,0
Application_602590634,1,15000,157.59,120,0,15000,0,0,0
Application_471946869,1,3000,530,126,53000,53000,0,0,1
Application_1541803817,1,15000,157.59,120,15000,15000,0,0,0
Application_1087673661,1,1800,392.22,120,37500,37500,0,0,0
Application_1330057843,0,40000,418.37,120,40000,40000,0,0,0
Application_42852858,1,10000,689.27,120,10000,65900,0,0,0
Application_1995862436,1,5000,56.3,120,5000,5000,0,0,0
Application_99272140,0,20,178.6,120,0,17000,0,0,0
Application_2065532160,1,0,500,126,0,50000,0,0,1
Application_544548205,0,8500,246.89,120,24000,23500,0,1,0
Application_1017437265,0,700,381.77,120,0,36500,0,0,0
Application_442961054,1,5000,56.3,120,5000,5000,0,0,0
Application_823158328,1,30000,313.78,120,25000,30000,0,0,0
Application_1258596148,0,10140,324.24,120,31000,31000,0,0,0
Application_1075917620,1,5000,56.3,120,5000,5000,0,0,0
Application_1351336683,0,0,136.01,120,12500,12500,0,0,0
Application_1574079518,1,2000,575.26,120,48500,55000,0,0,0
Application_786482604,1,0,350,126,35000,35000,0,0,1
Application_1371376020,1,35000,366.08,120,30000,35000,0,0,0
Application_1465418541,0,10000,108.81,120,10000,10000,0,0,0
Application_1948885488,1,16000,366.08,120,35000,35000,0,0,0
Application_1213204029,1,0,250,126,25000,25000,0,0,1
Application_1733355006,0,25000,261.48,120,25000,25000,0,0,0
Application_1002348901,1,15000,157.59,120,15000,15000,0,0,0
Application_1431658844,1,20000,210.12,120,20000,20000,0,0,0
Application_350079960,0,1,56.3,120,5000,5000,0,0,0
Application_34193941,0,0,500,126,50000,50000,0,0,1
Application_790153003,1,0,500,126,0,50000,0,0,1
Application_1492801192,0,10000,108.81,120,10000,10000,0,0,0
Application_410428578,1,0,250,126,25000,25000,0,0,1
Application_918459127,1,10000,600,126,60000,60000,0,0,1
Application_1854734826,0,15000,157.59,120,15000,15000,0,0,0
Application_292006777,0,6200,366.08,120,35000,35000,0,0,0
Application_1262007021,1,0,345.16,120,30000,33000,0,0,0
Application_597959320,1,15000,157.59,120,15000,15000,0,0,0
Application_1186807560,1,0,500,126,50000,50000,0,0,1
Application_2128607275,1,0,350,126,35000,35000,0,0,1
Application_1342061277,1,10000,108.81,120,10000,10000,0,0,0
Application_1186064010,1,0,500,126,50000,50000,0,0,1
Application_969943163,1,20000,210.12,120,20000,20000,0,0,0
Application_2121375723,1,9000,183.85,120,9000,17500,0,0,0
Application_212769454,0,10000,108.81,120,10000,10000,0,0,0
Application_1828725434,0,19282,407.91,120,20000,39000,0,0,0
Application_1207762748,1,0,400,126,40000,40000,0,0,1
Application_320107802,0,0,250,126,25000,25000,0,0,1
Application_130588891,1,6200,69.81,120,6200,6200,0,0,0
Application_2009707581,1,0,415,126,41500,41500,0,0,1
Application_777869378,1,25000,261.48,120,25000,25000,0,0,0
Application_1011657063,1,10000,300,126,30000,30000,0,0,1
Application_1055557026,1,30000,313.78,120,30000,30000,0,0,0
Application_1418958962,1,0,350,126,35000,35000,0,0,1
Application_1579125914,1,0,300,126,30000,30000,0,0,1
Application_1083806463,1,2500,250,126,0,25000,0,0,1
