case_id,accepted,first_withdrawal_amount,monthly_cost,payback_period,requested_amount,offered_amount,credit_score,offer_amt_less_than_requested,chased
Application_1017685010,1,15000,249.04,68,15000,15000,948,0,1
Application_101881919,1,1779,254.56,120,25000,25000,773,0,0
Application_1019299562,1,4936,249.15,69,15000,15000,920,0,0
Application_1019714896,1,0,100,58,5000,5000,0,0,0
Application_101973919,1,993.98,378.38,140,42000,42000,914,0,1
Application_1019756607,1,6000,500,56,25000,25000,0,0,0
Application_1019781911,0,3000,1000,89,50000,75000,0,0,0
Application_1020232709,1,0,150,80,10000,10000,1001,0,0
Application_1020606169,1,0,154.11,120,15000,15000,937,0,0
Application_1020696982,0,11000,417.43,28,11000,11000,693,0,1
Application_1020808066,1,0,420,126,50000,42000,0,1,0
Application_1020990376,1,5000,242.13,22,5000,5000,1066,0,0
Application_1021365915,1,20000,210.12,120,0,20000,913,0,0
Application_1021612767,0,15000,154.11,120,15000,15000,0,0,0
Application_102167608,1,30000,305.47,120,0,30000,974,0,0
Application_1021748617,1,30000,679,48,30000,30000,0,0,0
Application_1021758905,1,0,400,56,20000,20000,877,0,0
Application_102200568,0,0,125,45,5000,5000,769,0,0
Application_1022053539,1,526,209.43,110,18500,19000,949,0,0
Application_1022069965,1,10000,133.85,90,10000,10000,0,0,1
Application_1022414754,1,0,750,126,75000,75000,0,0,0
Application_1022593746,1,7500,150.38,58,7500,7500,1020,0,0
Application_10226694,1,0,205.49,120,20000,20000,941,0,0
Application_1023037940,0,10000,300.07,36,10000,10000,0,0,1
Application_102322853,1,7500,177.22,48,7500,7500,970,0,0
Application_102338755,0,1000,175,127,17500,17500,935,0,0
Application_1023419627,1,0.65,287.66,60,15500,15500,0,0,0
Application_1023996114,1,0,350,84,25000,25000,0,0,0
Application_1024024843,0,8000,244.52,36,8000,8000,0,0,0
Application_102404144,0,1482,179.44,102,15000,15300,717,0,0
Application_1024089863,0,20000,205.49,120,20000,20000,0,0,1
Application_1024151463,0,0,350,47,15000,15000,0,0,0
Application_1024275715,1,25000,273.28,110,25000,25000,924,0,0
Application_1024736114,1,10904,262.61,108,23000,23000,936,0,0
Application_1024771048,1,7000,100,134,10000,10000,0,0,0
Application_1024776595,1,5000,50,138,5000,5000,0,0,0
Application_1024812544,1,10000,191.27,60,10000,10000,882,0,0
Application_1024938160,1,6979,332.43,36,11000,11000,928,0,0
Application_1025122380,0,9000,101.34,120,0,9000,778,0,0
Application_102597720,1,8239.54,299.49,44,12000,12000,726,0,0
Application_1026118007,1,10000,149.19,79,10000,10000,791,0,0
Application_102615973,1,75,266.77,24,6000,6000,784,0,0
Application_1026359360,0,5000,110,52,5000,5000,0,0,0
Application_10264475,0,5000,345,126,34500,34500,0,0,0
Application_1026980360,1,0,150,62,8000,8000,0,0,0
Application_1027086707,1,4000,356.38,120,0,35000,885,0,0
Application_1027094271,1,0,210.12,120,20000,20000,907,0,1
Application_1027235358,1,10000,189.08,60,10000,10000,737,0,0
Application_1027449105,1,25000,461.78,60,25000,25000,925,0,0
Application_1028272738,1,2610,108.81,120,10000,10000,951,0,0
Application_1028452966,1,0,250,96,0,20000,0,0,0
Application_102863482,1,10419,326.74,114,0,30000,759,0,0
Application_1028646310,0,2500,400,72,22500,25000,0,0,0
Application_1028665365,0,17406,601.74,98,60000,50000,861,1,1
Application_1028685813,1,5294,407.05,77,27500,27500,852,0,0
Application_1028717479,1,6000,150.09,45,6000,6000,958,0,0
Application_1029247764,1,5000,64.43,100,5000,5000,0,0,0
Application_1029432816,1,756,331.94,120,38000,32600,899,1,1
Application_102977791,1,8000,155.83,60,8000,8000,1030,0,0
Application_1030024656,0,7500,148.2,59,7500,7500,816,0,0
Application_1030054529,0,12000,344.04,48,15000,15000,777,0,0
Application_1030639194,1,15000,154.11,120,15000,15000,1035,0,0
Application_1030645475,1,10000,439.07,24,10000,10000,0,0,0
Application_1030731936,1,0,60,138,7500,6000,0,1,0
Application_1030746884,1,1181,154.11,120,15000,15000,1035,0,0
Application_103087302,1,17500,179.8,120,17500,17500,890,0,0
Application_1030996,1,115,78.82,120,7000,7000,998,0,0
Application_1031153001,0,7000,350,22,7000,7000,718,0,0
Application_1031285536,1,1550,118.15,48,5000,5000,1019,0,0
Application_1031423845,1,0,200,89,15000,15000,0,0,0
Application_1031521256,1,0,75,138,7500,7500,916,0,0
Application_1031627654,1,15000,223.36,77,15000,15000,862,0,0
Application_1031629108,0,0,100,58,5000,5000,0,0,1
Application_1031648186,1,1945,411.74,84,30000,30000,883,0,0
Application_1031669296,1,10000,200,57,10000,10000,982,0,0
Application_1031742655,0,7954,264.74,120,26000,26000,0,0,0
Application_1031850261,1,20000,227.24,106,20000,20000,913,0,0
Application_1032212437,1,10000,222.33,50,10000,10000,970,0,0
Application_1032230604,0,20000,301.21,76,20000,20000,0,0,0
Application_103241719,1,5000,152.82,36,5000,5000,0,0,0
Application_1032596836,1,24000,298.67,95,25000,24000,858,1,0
Application_1032862024,0,1325,330.92,120,0,32500,0,0,0
Application_1033307487,1,0,500,126,0,50000,0,0,0
Application_1033312536,0,23000,236.31,120,25000,23000,0,1,0
Application_1033509575,1,0,623.35,21,12500,12500,777,0,0
Application_1033756531,0,0,190,127,24000,19000,0,1,0
Application_1034706502,1,0,180,127,18000,18000,0,0,0
Application_1034775753,0,5500,121.17,52,5500,5500,669,0,0
Application_1035150389,0,27500,287.63,120,27500,27500,0,0,0
Application_1035194235,1,13951,305.47,120,30000,30000,862,0,0
Application_1035232735,1,13002,560.02,120,0,55000,870,0,0
Application_1035361851,1,25,299.36,120,29000,29400,817,0,0
Application_1035434106,0,5000,83.61,72,5000,5000,0,0,0
Application_1035739361,1,12000,198.44,70,12000,12000,845,0,0
Application_1035841874,1,0,100,134,0,10000,1016,0,0
Application_10364301,0,8000,106.36,96,6000,8000,778,0,0
Application_1036485758,1,17000,302.03,63,17000,17000,895,0,0
Application_1036829662,0,5000,97.4,60,5000,5000,0,0,0
Application_1037222292,1,2500,400,80,0,27500,841,0,0
Application_1037363488,1,6000,141.78,48,6000,6000,892,0,0
Application_1037416693,1,15000,154.11,120,15000,15000,1010,0,0
Application_1037715800,1,50000,923.56,60,50000,50000,882,0,0
Application_1037792917,1,0,300,78,20000,20000,0,0,0
Application_1038386825,1,0,250,77,16500,16500,719,0,1
Application_1038409529,1,9340,318.56,34,10000,10000,791,0,0
Application_1038660996,1,28000,700,117,70000,66000,0,1,0
Application_1038816743,1,15000,278.38,60,15000,15000,907,0,0
Application_1039026518,1,7165,320,56,17000,16000,833,1,0
Application_1039191375,1,9221,299.49,44,12000,12000,805,0,0
Application_1039708026,1,0,650,103,0,55000,971,0,0
Application_1039785139,1,11000,198.99,64,11000,11000,976,0,0
Application_1039990121,1,5000,252.12,21,5000,5000,958,0,0
Application_1040142986,1,603,355.7,24,8000,8000,824,0,0
Application_104054636,1,14000,264.71,60,14000,14000,1056,0,0
Application_104061665,1,9972,254.56,120,25000,25000,921,0,0
Application_10406431,1,23700,243.5,120,0,23700,844,0,0
Application_1040902596,1,7866,509.11,120,50000,50000,894,0,0
Application_1041235702,1,11000,150,127,15000,15000,895,0,0
Application_1041373076,1,5249,225.39,34,5000,7000,1027,0,0
Application_1041438098,0,15000,185.04,96,15000,15000,893,0,0
Application_1042283273,0,10000,191.27,60,9500,10000,660,0,0
Application_1042310075,1,20000,300,78,20000,20000,1015,0,0
Application_1042553173,0,9800,245.15,45,10000,9800,0,1,0
Application_1042876170,0,10000,300.07,36,10000,10000,762,0,0
Application_1043132250,1,0,250,126,25000,25000,808,0,0
Application_1043186322,1,5000,56.3,120,5000,5000,0,0,0
Application_1043518306,0,0,430,126,43000,43000,0,0,0
Application_1043767161,0,10000,246.69,45,10000,10000,628,0,0
Application_1043941387,1,0,60.26,180,0,7000,883,0,1
Application_1044081389,1,75000,763.67,120,0,75000,0,0,0
Application_1044507870,1,17000,352.85,53,17000,17000,986,0,0
Application_104461308,1,6024,489.99,16,7500,7500,821,0,0
Application_1044940133,1,1421,763.67,120,75000,75000,762,0,1
Application_1044941168,0,5000,97.4,60,5000,5000,621,0,0
Application_1044965535,1,1190,133.07,120,12500,12500,921,0,0
Application_1045189910,1,50000,509.11,120,50000,50000,965,0,0
Application_1045362302,1,35000,499.82,82,35000,35000,969,0,0
Application_1045480225,1,10000,230.66,48,10000,10000,911,0,0
Application_1045534588,1,15000,278.38,60,15000,15000,960,0,0
Application_1045778286,1,13300,196.34,80,13250,13300,1042,0,0
Application_1046337221,1,11558,178.84,100,15000,15000,988,0,0
Application_1046524820,1,38718,509.11,120,0,50000,909,0,0
Application_1046690197,1,5000,291.87,18,5000,5000,1003,0,0
Application_1046834008,1,10000,150,127,15000,15000,869,0,0
Application_1046926586,1,10000,578.17,18,10000,10000,851,0,0
Application_1047090326,1,5266,218.83,111,20000,20000,974,0,0
Application_1047582740,0,2000,200,27,5000,5000,938,0,0
Application_1048045767,1,0,150,58,7500,7500,958,0,0
Application_1048060037,1,5313.86,294.49,78,5350,20000,861,0,0
Application_1048229669,1,10000,300.07,36,10000,10000,979,0,1
Application_1048729110,0,15000,154.11,120,15000,15000,0,0,0
Application_1048862780,1,3152,95.71,120,8500,8500,1026,0,1
Application_1048872077,1,2012.82,274.92,120,0,27000,0,0,0
Application_1048973398,1,12856,280.14,110,0,25000,1022,0,0
Application_1049151850,0,9000,140,134,14000,14000,0,0,1
Application_1049158506,1,1500,165,127,16500,16500,0,0,0
Application_1049376478,1,11110,252.62,72,16000,16000,909,0,0
Application_1049543567,1,7500,125.41,72,7500,7500,1011,0,0
Application_1049588193,0,5000,75,81,5000,5000,0,0,0
Application_1049752339,1,10000,260,126,26000,26000,0,0,0
Application_1050440539,0,8238,254.56,120,25000,25000,0,0,0
Application_1050447885,1,5000,222.31,24,5000,5000,993,0,0
Application_1050534620,1,5352.44,200.12,45,8000,8000,888,0,0
Application_105057931,1,5203,157.59,120,15000,15000,766,0,0
Application_1050613217,1,28000,292.86,120,0,28000,756,0,0
Application_1050628695,1,0,79.99,76,5000,5000,937,0,0
Application_1050689657,1,0,100,65,5500,5500,1045,0,0
Application_1050826945,1,3000,300,116,30000,28000,0,1,0
Application_1050934351,1,9452,226.9,60,12000,12000,765,0,0
Application_1050938301,1,0,236.31,120,23000,23000,923,0,1
Application_105128819,1,0,175,105,15000,15000,951,0,0
Application_1051823047,1,6500,153.59,48,6500,6500,1065,0,0
Application_1051896537,1,25000,277.98,120,25000,27300,844,0,0
Application_1052198739,1,15000,340.8,48,15000,15000,825,0,0
Application_1052210338,1,15000,154.11,120,150000,15000,1008,1,0
Application_1052472769,1,40000,738.85,60,40000,40000,949,0,0
Application_1052983039,1,5000,515.46,10,5000,5000,1042,0,0
Application_1053010811,0,10000,106.46,120,10000,10000,783,0,0
Application_1053290780,1,25000,392.51,72,0,25000,830,0,1
Application_1053333118,0,10000,150,127,15000,15000,0,0,0
Application_1053351118,1,9000,150.8,78,10000,10000,828,0,0
Application_1053355914,1,7544,231.17,120,0,22500,788,0,0
Application_10535231,0,6000,183.39,36,6000,6000,0,0,0
Application_1053998899,1,5000,330,126,33000,33000,0,0,0
Application_1054159025,1,16500,500,69,30000,30000,859,0,0
Application_1054590917,1,25000,273.28,110,25000,25000,984,0,0
Application_1054650915,1,1037,110.7,120,10000,10000,991,0,0
Application_1054727336,1,10000,79.5,180,10000,10000,1064,0,0
Application_1054841023,0,0,405.23,95,31000,32800,0,0,0
Application_1054883456,0,3002,90.08,120,8000,8000,815,0,0
Application_1055293453,0,1041,284,105,24000,25000,773,0,0
Application_1055522547,1,12221,278.38,60,15000,15000,924,0,0
Application_105575790,1,10000,260.39,42,10000,10000,0,0,0
Application_1055859984,0,0,439.19,84,23900,32000,838,0,1
Application_1055862016,0,0,486,126,42500,48600,0,0,0
Application_1055868885,1,21500,296.99,84,21500,21500,830,0,0
Application_1055889043,1,7500,199.5,42,7500,7500,1039,0,0
Application_1056728728,1,0,200,57,10000,10000,780,0,0
Application_105679391,0,10000,106.46,120,10000,10000,912,0,1
Application_1056831748,0,1787,374.71,120,36000,36800,732,0,0
Application_1057124582,1,5000,56.3,120,5000,5000,963,0,0
Application_1057632382,1,37250,389.61,120,37500,37250,913,1,0
Application_1057831861,1,5000,98.8,59,5000,5000,1039,0,0
Application_1057933942,0,15000,239.75,71,15000,15000,619,0,0
Application_1057948957,1,11000,230.7,54,11000,11000,1011,0,1
Application_1058149338,0,5000,56.3,120,5000,5000,0,0,1
Application_1058516441,1,382,651.57,72,41500,41500,931,0,0
Application_1058590424,1,0,250,126,0,25000,0,0,0
Application_1058701252,1,2471,200.91,69,12000,12000,979,0,0
Application_1058982112,1,16000,296.93,60,16000,16000,960,0,0
Application_1059019149,1,237.75,149.29,44,0,5850,730,0,1
Application_105906022,0,1154,305.47,120,30000,30000,0,0,0
Application_1059824032,1,16000,164.39,120,16000,16000,991,0,0
Application_1059851748,0,5000,83.61,72,5000,5000,762,0,0
Application_1060140097,1,10000,176.31,65,10000,10000,911,0,0
Application_1060240430,0,7000,103.32,84,7000,7000,0,0,0
Application_1061014425,1,2767,366.08,120,35000,35000,857,0,0
Application_1061127918,1,6353,499.6,55,0,25000,818,0,0
Application_1061222004,1,15300,393.13,42,15250,15300,962,0,0
Application_1061985132,0,1050,100,100,6000,7900,0,0,0
Application_1062307878,1,0,100,134,10000,10000,957,0,0
Application_1062457849,1,8582,278.38,60,0,15000,877,0,0
Application_1062777757,1,6000,266.77,24,6000,6000,875,0,0
Application_1062938548,0,5000,110.16,52,5000,5000,666,0,0
Application_1062965575,1,30000,305.47,120,30000,30000,859,0,0
Application_1063014072,1,189.79,347.54,15,5000,5000,0,0,0
Application_1063130816,1,4268,75.01,116,0,6500,794,0,0
Application_1063334591,1,123,499.85,105,43750,44000,1012,0,0
Application_1064063552,1,15537,344.9,55,0,17000,934,0,0
Application_1064691897,1,10000,189.08,60,8750,10000,940,0,0
Application_1064804107,0,1500,155,122,15000,15000,0,0,0
Application_1064970021,1,7000,146.91,55,7000,7000,790,0,1
Application_1065260204,1,3028,302.4,88,22400,22400,803,0,0
Application_1065460501,0,0,225,109,20000,20000,0,0,0
Application_1065574295,1,15000,278.38,60,15000,15000,913,0,0
Application_1065780614,0,15000,500,44,20000,20000,838,0,0
Application_1065823078,1,0,150,127,15000,15000,831,0,0
Application_1065975323,1,0,100,134,10000,10000,1000,0,0
Application_1066126238,0,15000,154.11,120,15000,15000,0,0,0
Application_10661478,1,3328,97.4,60,5000,5000,1022,0,0
Application_1066345355,0,0,200,39,7000,7000,1090,0,0
Application_1066673370,1,130,794.27,60,43000,43000,965,0,1
Application_1066827688,1,13800,250,126,25000,25000,869,0,0
Application_1067660857,1,16000,164.39,120,16000,16000,902,0,0
Application_1067894025,1,5000,450,126,45000,45000,0,0,0
Application_1067919941,1,0,400,89,30000,30000,809,0,0
Application_1068027824,1,2722,347.54,15,5000,5000,905,0,0
Application_1068062776,1,26,140.52,120,13200,13200,944,0,1
Application_1068168103,0,6500,153.59,48,6500,6500,951,0,0
Application_1068398029,1,7984,236.38,120,0,22500,990,0,0
Application_1068503675,1,0,500,126,50000,50000,0,0,0
Application_1068641466,0,28000,517.2,60,28000,28000,859,0,0
Application_106876280,1,9000,175.31,60,9000,9000,892,0,0
Application_1069252664,1,10000,189.08,60,10000,10000,952,0,0
Application_1069333518,1,15000,340.8,48,12000,15000,1003,0,0
Application_1069578306,1,2627,171.42,60,15000,8800,0,1,0
Application_1069688278,1,9490,157.59,120,15000,15000,1018,0,0
Application_1070053591,0,4950,448.17,36,15000,15000,0,0,0
Application_1070374401,0,0,150,54,7000,7000,911,0,0
Application_1070469431,1,0,175,127,17500,17500,0,0,0
Application_1070475605,1,15000,154.11,120,15000,15000,722,0,0
Application_1070602542,1,0,150,80,10000,10000,998,0,0
Application_1070659827,1,3504,261.48,120,25000,25000,998,0,0
Application_1070807650,1,26511,683.44,60,37000,37000,1082,0,0
Application_1070894524,1,13000,176.95,90,13000,13000,918,0,0
Application_1071567668,1,0,150,127,15000,15000,920,0,0
Application_1071782613,1,1454,191.74,40,6900,6900,916,0,0
Application_1071818076,0,0,160,46,6500,6500,853,0,0
Application_1071818580,1,7500,146.09,60,7500,7500,844,0,0
Application_107207908,1,25000,499.6,55,25000,25000,920,0,0
Application_1072250762,1,362,476.65,74,31100,31100,1043,0,0
Application_1072401713,1,21,293.22,60,13500,15800,827,0,0
Application_1072579777,1,9603,245.8,60,10000,13000,955,0,0
Application_1072740747,1,0,100,134,10000,10000,0,0,0
Application_1072849897,1,0,200,57,10000,10000,1048,0,0
Application_1072910305,1,11195,458.2,120,45000,45000,831,0,0
Application_1073143855,1,7500,199.5,42,8250,7500,0,1,0
Application_1073264363,1,729,205.49,120,20000,20000,821,0,0
Application_1073743483,1,0,150,127,15000,15000,922,0,0
Application_1073870547,0,6000,250,55,12000,12000,0,0,1
Application_1073884448,1,7456.94,313.56,100,26500,26500,838,0,0
Application_1074154612,1,11750,149.42,98,11750,11750,922,0,0
Application_1074323894,0,0,250,69,15000,15000,669,0,0
Application_10744396,1,0,150,74,10000,9200,997,1,0
Application_10750697,0,7500,146.09,60,10000,7500,0,1,1
Application_1075071428,0,5000,300,94,23500,23500,0,0,0
Application_1075145802,1,5000,200,57,10000,10000,0,0,0
Application_1075244712,1,9226,440.94,66,26000,26000,856,0,0
Application_1075376537,1,0,230,127,26000,23000,0,1,0
Application_107540463,0,8000,355.7,24,8000,8000,631,0,1
Application_1075443119,1,8000,155.83,60,8000,8000,1111,0,0
Application_1075690226,1,10000,106.46,120,10000,10000,764,0,0
Application_1075876737,1,25078.23,468.38,120,25000,46000,881,0,0
Application_1076323709,1,596,205.49,120,19000,20000,818,0,0
Application_1076592180,0,0,501.68,20,9100,9500,974,0,0
Application_1076597906,0,2707,301.06,55,15000,15000,0,0,0
Application_1076621871,1,0,100,58,5000,5000,0,0,0
Application_1076741667,1,15051.53,502.42,72,0,32000,945,0,0
Application_1076971157,1,18000,284.19,72,18000,18000,1064,0,0
Application_1077411737,1,200,200,57,10000,10000,741,0,0
Application_1077696902,0,4700,100,72,6200,6000,751,1,0
Application_1077855459,1,0,230,97,35000,18500,0,1,0
Application_1078140856,1,4469.29,97.4,60,5000,5000,851,0,1
Application_1078283655,0,5000,97.4,60,5000,5000,666,0,0
Application_1078441982,0,0,150,127,15000,15000,795,0,0
Application_107852661,1,32000,510.88,72,32000,32000,924,0,0
Application_1078589100,0,5000,70.5,89,5000,5000,660,0,0
Application_1079022040,1,17500,183.85,120,17500,17500,1018,0,0
Application_1079238571,1,15000,281.65,60,0,15000,970,0,0
Application_1079314583,1,40000,1019.62,60,15000,55200,0,0,0
Application_1079422107,1,23500,177.54,180,23500,23500,1001,0,0
Application_1079796597,1,0,200,71,12000,12000,981,0,0
Application_1080107159,1,15000,150,127,15000,15000,980,0,0
Application_1080224644,1,10000,106.46,120,10000,10000,777,0,0
Application_1080379006,1,1000,200,74,12500,12500,0,0,0
Application_1080583783,0,3070.42,199.11,95,0,16000,728,0,0
Application_1080788023,1,15000,278.38,60,15000,15000,997,0,0
Application_1081067222,1,15000,157.59,120,15000,15000,1067,0,1
Application_1081528891,1,5000,152.82,36,5000,5000,993,0,0
Application_1081666766,1,0,400,118,38000,38000,0,0,0
Application_1081695790,0,17000,450,83,32000,32000,0,0,1
Application_1081922748,0,12500,153.58,100,12500,12500,823,0,0
Application_1081940695,1,10000,230.66,48,10000,10000,880,0,0
Application_1082188204,0,7500,146.09,60,8500,7500,0,1,0
Application_1082382924,1,10000,150.8,78,10000,10000,1039,0,0
Application_108261729,0,10000,251.73,44,10000,10000,0,0,0
Application_1083450906,1,3699,194.81,58,10000,10000,1070,0,0
Application_1083662026,0,50,125,89,9000,9000,0,0,0
Application_1083700866,1,10500,171.82,72,0,10500,955,0,0
Application_1083806463,1,2500,250,126,0,25000,0,0,0
Application_1084227894,1,5711,260.39,42,10000,10000,885,0,0
Application_1084297583,1,15000,300,56,15000,15000,922,0,0
Application_1084424128,1,6500,65,138,6500,6500,878,0,0
Application_1084464148,1,5000,98.8,59,5000,5000,0,0,1
Application_1084562941,0,6000,175.45,120,0,16700,0,0,0
Application_1084762549,0,14000,150,127,0,15000,0,0,0
Application_1084806237,1,0,75,81,5000,5000,1046,0,0
Application_1084809711,1,9312,277.55,67,16500,16500,896,0,0
Application_1085126063,1,15000,340.8,48,15000,15000,958,0,0
Application_1085330541,1,0,120,134,0,12000,941,0,0
Application_1085521488,1,6000,116.87,60,6000,6000,905,0,0
Application_1085547103,0,15000,154.11,120,15000,15000,690,0,0
Application_1085577901,1,15514.77,396.14,90,30000,30000,714,0,0
Application_1085598683,1,6000,116.87,60,6000,6000,1057,0,0
Application_1085782057,0,5000,199.14,27,5000,5000,829,0,0
Application_1086114195,0,27000,299.65,108,27500,27000,0,1,0
Application_1086189813,1,6000,141.78,48,6000,6000,984,0,0
Application_1086593705,0,5000,222.31,24,5000,5000,0,0,0
Application_1086599276,1,13400,253.37,60,17500,13400,0,1,0
Application_1086606722,0,5000,100.25,58,5000,5000,0,0,0
Application_1086862400,1,0,300,126,30000,30000,0,0,0
Application_1087053459,1,7171,219.36,91,17000,17000,817,0,0
Application_1087137354,1,10000,149.19,79,10000,10000,972,0,1
Application_1087176482,1,6000,60,138,15000,6000,818,1,1
Application_1087202414,1,15000,448.17,36,0,15000,772,0,0
Application_1087598996,1,1200,550,56,23000,27500,746,0,0
Application_1087628944,0,1371,66.47,96,5000,5000,806,0,0
Application_1087708979,1,2841,305.47,120,30000,30000,827,0,0
Application_1087802012,1,6503,189.08,60,10000,10000,895,0,0
Application_1087909645,1,6503,418.37,120,38000,40000,0,0,0
Application_108795242,1,33,300.29,87,0,22400,957,0,0
Application_1088305734,1,0,200,57,10000,10000,0,0,0
Application_1088419360,1,10000,302.21,36,10000,10000,1030,0,0
Application_1088516784,1,25000,254.56,120,25000,25000,787,0,0
Application_1088555315,1,0,150,90,11000,11000,0,0,0
Application_1088621827,1,0,450,126,35000,45000,0,0,1
Application_1088659857,1,0,174.62,38,6000,6000,892,0,0
Application_1088673531,1,10000,200.95,56,10000,10000,826,0,0
Application_108869739,0,5000,97.4,60,5000,5000,0,0,0
Application_1088746600,1,28000,310.75,108,28000,28000,917,0,0
